response_id,class,length,word_count
response_1,not_flagged,37,8
response_2,flagged,122,25
response_3,flagged,130,29
response_4,not_flagged,58,11
response_5,not_flagged,381,72
response_6,not_flagged,127,25
response_7,flagged,102,21
response_8,flagged,227,38
response_9,not_flagged,99,13
response_10,flagged,225,41
response_11,not_flagged,298,60
response_12,flagged,115,22
response_13,not_flagged,39,6
response_14,not_flagged,5,1
response_15,not_flagged,12,4
response_16,flagged,85,16
response_17,not_flagged,73,12
response_18,not_flagged,30,5
response_19,not_flagged,74,17
response_20,not_flagged,128,21
response_21,not_flagged,34,4
response_22,flagged,79,15
response_23,flagged,407,71
response_24,not_flagged,195,37
response_25,not_flagged,58,14
response_26,flagged,183,32
response_27,flagged,127,23
response_28,not_flagged,77,15
response_29,flagged,59,9
response_30,not_flagged,155,32
response_31,not_flagged,46,9
response_32,not_flagged,78,15
response_33,not_flagged,110,22
response_34,not_flagged,265,52
response_35,not_flagged,93,17
response_36,not_flagged,242,49
response_37,flagged,467,90
response_38,not_flagged,312,59
response_39,flagged,284,59
response_40,not_flagged,70,13
response_41,flagged,108,19
response_42,not_flagged,210,44
response_43,not_flagged,55,11
response_44,not_flagged,16,2
response_45,not_flagged,114,24
response_46,not_flagged,152,32
response_47,not_flagged,57,11
response_48,not_flagged,89,20
response_49,flagged,1512,304
response_50,not_flagged,60,10
response_51,not_flagged,109,20
response_52,flagged,107,21
response_53,not_flagged,119,23
response_54,not_flagged,36,8
response_55,not_flagged,88,17
response_56,not_flagged,445,88
response_57,not_flagged,94,20
response_58,flagged,901,181
response_59,not_flagged,61,10
response_60,flagged,276,50
response_61,not_flagged,64,10
response_62,flagged,113,21
response_63,not_flagged,41,6
response_64,not_flagged,209,42
response_65,flagged,146,30
response_66,not_flagged,29,4
response_67,not_flagged,132,25
response_68,not_flagged,107,18
response_69,not_flagged,173,30
response_70,not_flagged,111,23
response_71,not_flagged,6,1
response_72,not_flagged,67,14
response_73,flagged,104,21
response_74,not_flagged,127,24
response_75,flagged,201,34
response_76,not_flagged,351,62
response_77,flagged,69,15
response_78,not_flagged,92,16
response_79,flagged,386,73
response_80,not_flagged,162,30
